date,country,channel ID,category ID,sessions,pageviews,conversions,revenue,bounces,total_session_duration_in_ms
2019-01-09,cz,2,10,88,357,123,94.12,9,501408175
2019-01-09,cz,4,10,96,208,93,64.604,26,253415873
2019-01-09,cz,6,10,657,1848,976,651.684,99,2471112793
2019-01-10,cz,4,10,49,91,71,69.764,8,94419549
2019-01-10,cz,2,10,81,200,124,91.044,8,281356375
2019-01-10,cz,6,10,586,1626,881,604.148,83,2089067320
2019-01-10,cz,5,10,22,36,19,19.928,2,13158188
2019-01-10,cz,7,10,94,201,111,95.876,14,95704783
2019-01-10,cz,3,10,1,2,0,0,0,296892
2019-01-11,cz,5,10,23,52,18,13.112,5,21129739
2019-01-11,cz,7,10,78,284,121,99.732,15,1291674092
2019-01-11,cz,2,10,70,272,114,105.508,8,470387142
2019-01-11,cz,4,10,69,167,79,71.148,15,193670241
2019-01-11,cz,6,10,608,1787,883,649.66,90,1876284412
2019-01-12,cz,2,10,70,231,142,88.548,7,432505293
2019-01-12,cz,5,10,6,9,5,3.888,1,4035067
2019-01-12,cz,7,10,103,286,125,100.78,19,321375628
2019-01-12,cz,4,10,84,173,65,57.452,21,141637258
2019-01-12,cz,6,10,547,1432,764,550.792,85,1644887194
2019-01-13,cz,3,10,3,13,6,6.896,0,27840656
2019-01-13,cz,6,10,598,1530,817,612.2,94,1421892274
2019-01-13,cz,4,10,66,138,86,76.772,16,234895263
2019-01-13,cz,2,10,79,173,126,106.5,8,208973897
2019-01-13,cz,5,10,10,13,13,10.656,2,5250688
2019-01-13,cz,7,10,95,194,121,101.208,17,79629115
2019-01-14,cz,6,10,843,2491,1326,834.096,125,3007869629
2019-01-14,cz,2,10,103,212,142,121.16,13,220583365
2019-01-14,cz,5,10,15,23,19,18.02,3,13569003
2019-01-14,cz,7,10,112,285,210,165.02,16,617703772
2019-01-14,cz,4,10,73,173,54,43.12,15,86439672
2019-01-15,cz,2,10,86,370,180,130.084,9,814697752
2019-01-15,cz,5,10,16,45,19,14.304,3,68045079
2019-01-15,cz,6,10,659,1772,894,590.94,109,1502193642
2019-01-15,cz,7,10,120,283,138,93.804,25,531710099
2019-01-15,cz,4,10,88,139,31,22.58,27,34076197
2019-01-16,cz,6,10,633,1641,742,492.432,111,1469867688
2019-01-16,cz,4,10,62,144,55,41.944,11,118170467
2019-01-16,cz,2,10,71,557,194,139.516,10,3668750967
2019-01-16,cz,5,10,13,35,12,13.024,2,19035449
2019-01-16,cz,1,10,1,1,1,2,0,4966
2019-01-16,cz,3,10,23,42,17,13.22,2,64636641
2019-01-16,cz,7,10,67,142,69,64.452,14,59598918
2019-01-17,cz,2,10,68,292,185,116.208,9,1049024241
2019-01-17,cz,6,10,573,1570,777,551.228,94,1995526492
2019-01-17,cz,5,10,18,29,6,6.4,3,5736724
2019-01-17,cz,7,10,62,107,55,44.692,12,50317408
2019-01-17,cz,4,10,84,147,80,80.752,18,84360927
2019-01-17,cz,3,10,3,3,1,0.68,0,456809
2019-01-18,cz,2,10,79,225,102,68.024,11,268136732
2019-01-18,cz,5,10,8,55,19,4.98,2,98376428
2019-01-18,cz,3,10,1,0,2,1.76,0,2714764
2019-01-18,cz,6,10,546,1438,757,484.316,87,1607921670
2019-01-18,cz,4,10,73,192,80,53.976,15,465759411
2019-01-18,cz,7,10,72,204,82,57.224,16,396722705
2019-01-19,cz,6,10,543,1538,712,468.536,85,1376200603
2019-01-19,cz,7,10,67,174,83,58.872,13,252742343
2019-01-19,cz,1,10,1,1,0,0,0,14375
2019-01-19,cz,3,10,1,1,1,0.116,0,77890
2019-01-19,cz,4,10,86,184,105,83.616,18,325581686
2019-01-19,cz,2,10,92,309,192,129.192,11,1951993827
2019-01-19,cz,5,10,10,17,7,3.64,2,8246797
2019-01-20,cz,3,10,1,2,0,0,0,878610
2019-01-20,cz,4,10,85,198,123,94.564,13,247832420
2019-01-20,cz,6,10,669,1789,978,661.908,109,1757970360
2019-01-20,cz,2,10,83,234,154,88.504,13,502320905
2019-01-20,cz,5,10,14,40,16,10.192,2,37833579
2019-01-20,cz,7,10,105,236,174,121.772,19,353244068
2019-01-21,cz,2,10,103,426,265,159.496,12,910189820
2019-01-21,cz,7,10,96,324,250,169.012,17,723918840
2019-01-21,cz,3,10,7,23,5,3.06,1,10032248
2019-01-21,cz,6,10,744,2227,1264,827.008,115,3645294550
2019-01-21,cz,5,10,13,26,28,18.128,4,53903555
2019-01-21,cz,4,10,103,348,138,98.712,18,433879380
2019-01-22,cz,4,10,74,161,61,48.636,13,142629445
2019-01-22,cz,7,10,82,158,115,85.416,16,62814578
2019-01-22,cz,2,10,85,247,119,70.676,10,291268734
2019-01-22,cz,5,10,21,47,54,40.708,4,78874510
2019-01-22,cz,6,10,615,1500,715,465.396,104,1172440299
2019-01-23,cz,6,10,616,1521,810,534.892,108,1309103878
2019-01-23,cz,7,10,87,214,148,103.592,16,286933407
2019-01-23,cz,1,10,1,1,1,1.2,0,10186
2019-01-23,cz,4,10,81,179,108,81.952,12,144449761
2019-01-23,cz,2,10,82,198,127,89.324,12,319388928
2019-01-23,cz,5,10,27,67,32,24.26,5,44930915
2019-01-23,cz,3,10,1,9,1,0.092,0,15183080
2019-01-24,cz,7,10,95,194,138,106.288,17,181436981
2019-01-24,cz,2,10,85,270,135,84.792,14,391398274
2019-01-24,cz,4,10,87,149,82,63.896,15,83384493
2019-01-24,cz,6,10,559,1353,733,482.588,92,1250621667
2019-01-24,cz,1,10,1,1,1,0.92,0,5728
2019-01-24,cz,5,10,14,46,8,4.184,2,22329156
2019-01-25,cz,1,10,1,1,1,0.68,0,4956
2019-01-25,cz,4,10,87,203,143,95.292,16,283219843
2019-01-25,cz,6,10,558,1355,864,549.764,86,1586005719
2019-01-25,cz,7,10,75,197,106,79.908,13,159759565
2019-01-25,cz,5,10,15,26,14,11.48,5,14916376
2019-01-25,cz,2,10,77,310,140,86.236,8,808444817
2019-01-26,cz,6,10,525,1335,710,451.676,87,1827124917
2019-01-26,cz,4,10,62,130,93,76.5,8,248757696
2019-01-26,cz,7,10,79,186,92,68.292,12,105957012
2019-01-26,cz,5,10,11,25,5,2.976,2,5284836
2019-01-26,cz,2,10,86,165,116,86.3,13,186013968
2019-01-27,cz,4,10,87,136,82,66.872,19,70156125
2019-01-27,cz,5,10,6,10,7,5.668,1,3718733
2019-01-27,cz,2,10,91,305,151,106.844,11,536339686
2019-01-27,cz,6,10,646,1725,897,590.568,100,1806666835
2019-01-27,cz,7,10,102,258,159,120.044,20,304782597
2019-01-27,cz,3,10,71,170,52,37.544,14,125611896
2019-01-28,cz,5,10,13,42,44,22.152,3,150517982
2019-01-28,cz,2,10,112,305,136,89.368,9,301569777
2019-01-28,cz,6,10,740,2241,988,646.836,113,2964626894
2019-01-28,cz,3,10,26,72,42,31.88,2,77256567
2019-01-28,cz,7,10,111,284,147,108.492,17,242537072
2019-01-28,cz,4,10,87,138,91,75.592,12,103058917
2019-01-29,cz,7,10,108,278,137,97.076,23,320559306
2019-01-29,cz,4,10,59,130,87,66.796,9,115162551
2019-01-29,cz,5,10,10,20,9,6.752,2,8066653
2019-01-29,cz,2,10,71,211,98,63.528,8,284918679
2019-01-29,cz,3,10,6,14,10,6.268,1,11322979
2019-01-29,cz,6,10,574,1534,771,525.928,85,1420998558
2019-01-30,cz,1,10,1,1,1,0.68,0,11052
2019-01-30,cz,7,10,132,414,271,193.048,25,765379306
2019-01-30,cz,3,10,1,6,1,0.72,0,1375535
2019-01-30,cz,5,10,6,23,38,25.924,1,43294335
2019-01-30,cz,2,10,96,304,136,85.8,6,440972249
2019-01-30,cz,6,10,592,1586,866,558.86,87,1768777789
2019-01-30,cz,4,10,99,179,69,52.028,23,133317517
2019-01-31,cz,7,10,185,382,220,153.9,37,342852869
2019-01-31,cz,2,10,75,282,101,66.316,8,395403904
2019-01-31,cz,5,10,9,12,7,4.532,2,2437495
2019-01-31,cz,3,10,3,3,9,6.648,1,5973750
2019-01-31,cz,4,10,112,245,116,81.864,24,230843909
2019-01-31,cz,6,10,633,1634,947,628.028,101,1843643806
2019-02-01,cz,5,10,4,15,4,3.44,0,17527881
2019-02-01,cz,4,10,114,218,138,109.496,19,244664118
2019-02-01,cz,7,10,202,309,132,95.06,55,98505887
2019-02-01,cz,2,10,101,340,181,113.284,5,436344264
2019-02-01,cz,6,10,503,1292,672,451.784,71,1296106038
2019-02-02,cz,3,10,1,1,0,0,0,280210
2019-02-02,cz,4,10,124,227,180,134.004,20,272267122
2019-02-02,cz,5,10,10,18,8,5.084,2,19909545
2019-02-02,cz,7,10,203,361,242,179.088,47,272576240
2019-02-02,cz,2,10,119,387,163,99.5,19,441618718
2019-02-02,cz,6,10,477,1388,622,406.444,66,1221345051
2019-02-03,cz,7,10,216,365,198,152.6,54,272826834
2019-02-03,cz,3,10,1,2,0,0,0,16922
2019-02-03,cz,2,10,76,228,132,85.884,8,356942142
2019-02-03,cz,5,10,2,4,2,0.72,0,8180580
2019-02-03,cz,6,10,626,1620,978,648.812,100,1710631173
2019-02-03,cz,4,10,116,288,153,118.488,19,211960738
2019-02-03,cz,1,10,1,16,4,3.36,0,17184600
2019-02-04,cz,4,10,89,151,96,76.004,15,111336096
2019-02-04,cz,7,10,182,349,158,115.948,41,189288143
2019-02-04,cz,6,10,752,2087,1159,725.768,109,2453482648
2019-02-04,cz,5,10,8,16,12,6.432,0,23970180
2019-02-04,cz,2,10,104,379,113,72.708,11,765842099
2019-02-04,cz,3,10,19,26,15,9.632,1,14515600
2019-02-05,cz,2,10,89,254,144,99.48,7,223187433
2019-02-05,cz,4,10,71,146,92,66.64,11,135976239
2019-02-05,cz,7,10,151,354,177,130.468,29,279031161
2019-02-05,cz,5,10,5,9,1,0.092,1,1631157
2019-02-05,cz,3,10,1,1,0,0,0,0
2019-02-05,cz,6,10,657,1935,759,469.664,119,2316373293
2019-02-06,cz,6,10,640,1691,841,545.52,106,1566814705
2019-02-06,cz,5,10,4,4,6,5,1,7603441
2019-02-06,cz,2,10,102,215,118,71.664,14,213430080
2019-02-06,cz,3,10,2,2,0,0,0,112125
2019-02-06,cz,7,10,120,196,119,91.996,25,107319784
2019-02-06,cz,4,10,97,128,67,49.768,24,43173937
2019-02-07,cz,5,10,8,13,4,3,2,1761576
2019-02-07,cz,2,10,73,176,92,57.68,8,204376089
2019-02-07,cz,6,10,622,1752,859,544.144,104,2174124830
2019-02-07,cz,4,10,70,207,120,80.044,15,340320058
2019-02-07,cz,7,10,108,175,110,81.364,21,73304623
2019-02-08,cz,6,10,551,1629,834,542.304,85,1614893427
2019-02-08,cz,4,10,68,183,75,59.264,16,101239232
2019-02-08,cz,2,10,86,195,107,66.572,10,139706996
2019-02-08,cz,7,10,113,182,97,73.408,26,47420862
2019-02-08,cz,5,10,5,15,2,2.12,1,2821651
2019-02-09,cz,6,10,517,1462,675,424.768,91,1817545950
2019-02-09,cz,4,10,65,88,62,48.704,13,56606678
2019-02-09,cz,2,10,87,300,196,102.996,6,789766849
2019-02-09,cz,7,10,97,188,119,92.076,18,223475407
2019-02-09,cz,5,10,9,11,5,4.092,2,793489
2019-02-10,cz,2,10,71,212,128,80.048,5,274275319
2019-02-10,cz,7,10,152,370,135,96.028,33,292945870
2019-02-10,cz,3,10,1,5,0,0,0,764355
2019-02-10,cz,6,10,625,1611,813,544.788,101,1561380086
2019-02-10,cz,4,10,85,179,101,77.876,18,95560564
2019-02-10,cz,5,10,5,9,4,2.76,0,818054
2019-02-11,cz,4,10,74,176,78,60.148,15,270004769
2019-02-11,cz,7,10,172,400,282,210.348,23,420269079
2019-02-11,cz,3,10,2,29,24,14.472,0,195226111
2019-02-11,cz,2,10,87,293,177,107.62,10,769983795
2019-02-11,cz,5,10,7,22,7,4.984,1,10317903
2019-02-11,cz,6,10,736,1851,1016,651.924,126,1782078194
2019-02-12,cz,2,10,80,199,141,98.644,8,206377288
2019-02-12,cz,4,10,65,131,79,57.24,11,125853944
2019-02-12,cz,5,10,5,27,13,8.736,1,26762750
2019-02-12,cz,7,10,169,293,180,129.344,31,130396516
2019-02-12,cz,6,10,639,1728,845,545.3,111,1577914322
2019-02-12,cz,1,10,1,0,1,0.68,0,2290
2019-02-13,cz,2,10,88,187,114,59.892,10,237205586
2019-02-13,cz,7,10,148,292,181,127.208,30,200376498
2019-02-13,cz,5,10,1,1,0,0,0,31903
2019-02-13,cz,3,10,5,3,7,4.96,0,7397043
2019-02-13,cz,6,10,556,1607,814,484.564,88,1552335937
2019-02-13,cz,4,10,60,124,52,37.472,12,59071741
2019-02-14,cz,4,10,68,121,67,43.82,14,116999030
2019-02-14,cz,6,10,536,1427,661,412.844,88,1067110578
2019-02-14,cz,3,10,3,1,7,4.184,0,1984250
2019-02-14,cz,5,10,9,15,12,6.844,2,17641675
2019-02-14,cz,2,10,88,261,209,122.512,10,948430881
2019-02-14,cz,7,10,107,198,133,84.944,19,158892113
2019-02-14,cz,1,10,8,7,1,0.68,3,2388
2019-02-15,cz,2,10,91,250,154,97.032,10,383408375
2019-02-15,cz,6,10,582,1681,710,444.044,93,1543442114
2019-02-15,cz,4,10,75,134,75,51.92,19,103437503
2019-02-15,cz,7,10,124,271,161,111.676,25,164877149
2019-02-15,cz,1,10,4,3,1,0.68,1,18472
2019-02-15,cz,5,10,8,25,20,11.512,0,25289624
2019-02-16,cz,6,10,498,1179,745,480.96,77,1156394526
2019-02-16,cz,5,10,3,34,26,13.244,0,318117035
2019-02-16,cz,2,10,81,240,142,89.92,7,647750388
2019-02-16,cz,3,10,1,0,1,0.6,0,141275
2019-02-16,cz,7,10,120,222,137,98.452,23,124282813
2019-02-16,cz,4,10,72,88,74,55.932,14,38200677
2019-02-17,cz,2,10,76,266,143,87.784,10,587884281
2019-02-17,cz,4,10,87,154,92,59.488,18,175923080
2019-02-17,cz,6,10,629,1774,933,589.8,90,2165455220
2019-02-17,cz,5,10,3,4,10,7.7,0,7200720
2019-02-17,cz,7,10,125,232,131,92.288,24,180045274
2019-02-17,cz,3,10,1,0,1,0.92,0,458683
2019-02-18,cz,4,10,84,179,134,94.892,12,360752653
2019-02-18,cz,6,10,685,1953,922,575.784,102,2249218249
2019-02-18,cz,2,10,101,286,219,130.932,10,572527080
2019-02-18,cz,5,10,7,15,6,3.656,0,5600254
2019-02-18,cz,7,10,154,368,264,182.96,26,359866867
2019-02-18,cz,3,10,1,1,0,0,0,0
2019-02-19,cz,5,10,6,22,12,6.732,0,27840010
2019-02-19,cz,6,10,610,1908,941,567.84,93,3029125188
2019-02-19,cz,2,10,73,276,128,70.348,6,755204234
2019-02-19,cz,4,10,75,143,82,61.544,13,232647635
2019-02-19,cz,3,10,1,0,1,0.68,0,183371
2019-02-19,cz,7,10,132,275,155,105.796,28,179330523
2019-02-20,cz,3,10,1,2,1,0.8,0,358827
2019-02-20,cz,2,10,88,263,194,87.356,13,800121975
2019-02-20,cz,7,10,153,422,194,120.244,34,1452013114
2019-02-20,cz,6,10,619,1672,891,561.648,109,1882541918
2019-02-20,cz,4,10,73,113,77,55.596,8,71559797
2019-02-20,cz,5,10,4,18,17,3.52,0,45184048
2019-02-21,cz,6,10,532,1440,764,474.816,80,1316731232
2019-02-21,cz,5,10,6,11,1,0.6,1,3759020
2019-02-21,cz,2,10,83,240,212,137.284,10,515571527
2019-02-21,cz,4,10,68,116,70,48.608,10,82128552
2019-02-21,cz,7,10,130,239,134,86.992,24,188737072
2019-02-22,cz,2,10,63,194,118,77.244,5,449304267
2019-02-22,cz,7,10,91,205,117,74.192,17,144600200
2019-02-22,cz,5,10,8,8,4,2.936,1,2125752
2019-02-22,cz,1,10,1,0,1,0.72,0,1354
2019-02-22,cz,4,10,80,131,109,70.516,15,101636783
2019-02-22,cz,6,10,521,1372,679,413.792,78,1194308363
2019-02-23,cz,2,10,92,201,124,80.464,7,265126150
2019-02-23,cz,7,10,91,295,129,85.18,14,213627822
2019-02-23,cz,3,10,1,17,2,1.4,0,19246202
2019-02-23,cz,5,10,2,1,1,0.58,0,30906
2019-02-23,cz,1,10,1,9,6,4.72,0,10871235
2019-02-23,cz,4,10,70,134,69,44.036,16,93976098
2019-02-23,cz,6,10,477,1423,632,389.736,74,1221797070
2019-02-24,cz,7,10,134,322,187,116.3,26,338054247
2019-02-24,cz,4,10,62,127,44,29.14,17,94943008
2019-02-24,cz,6,10,568,1466,796,471.98,91,1453044159
2019-02-24,cz,5,10,5,26,3,2.076,1,5436647
2019-02-24,cz,2,10,103,260,183,94.12,11,434283210
2019-02-25,cz,7,10,145,305,203,123.02,26,382670382
2019-02-25,cz,6,10,604,1663,850,509.208,95,1813158986
2019-02-25,cz,2,10,80,171,128,61.824,8,181168193
2019-02-25,cz,5,10,7,24,13,9.224,0,18118606
2019-02-25,cz,3,10,6,13,3,2.104,0,2915235
2019-02-25,cz,4,10,74,128,79,50.076,14,235601419
2019-02-26,cz,3,10,1,1,1,0.88,0,268470
2019-02-26,cz,4,10,74,169,141,88.056,9,184301143
2019-02-26,cz,6,10,565,1407,736,458.408,100,1235591688
2019-02-26,cz,2,10,56,102,76,46.408,5,97651535
2019-02-26,cz,5,10,5,11,8,3.92,0,6912272
2019-02-26,cz,7,10,142,276,131,85.144,28,118630011
2019-02-27,cz,6,10,613,1796,841,480.556,100,1643992432
2019-02-27,cz,3,10,1,1,1,0.6,0,581748
2019-02-27,cz,5,10,5,8,11,8.96,1,8567703
2019-02-27,cz,7,10,110,266,119,68.276,19,164139391
2019-02-27,cz,4,10,80,133,98,63.628,16,154922959
2019-02-27,cz,2,10,90,142,95,56.76,7,171412978
2019-02-28,cz,2,10,61,98,62,35.756,6,49427417
2019-02-28,cz,6,10,554,1341,666,392.296,102,979835432
2019-02-28,cz,5,10,5,6,3,2.24,0,1254672
2019-02-28,cz,4,10,82,118,71,45.964,13,41491633
2019-02-28,cz,7,10,102,189,108,62.92,18,86571919
2019-03-01,cz,2,10,79,237,138,67.868,10,459350455
2019-03-01,cz,5,10,3,4,6,2.72,0,7281237
2019-03-01,cz,6,10,533,1308,608,373.564,86,958061213
2019-03-01,cz,4,10,85,119,79,52.892,21,44281572
2019-03-01,cz,7,10,165,360,197,122.756,38,312298432
2019-03-02,cz,4,10,71,189,72,42.684,12,227736256
2019-03-02,cz,5,10,3,5,4,2.764,0,2538898
2019-03-02,cz,7,10,146,384,173,106.588,25,329085671
2019-03-02,cz,6,10,541,1596,734,433.964,81,1345875003
2019-03-02,cz,2,10,71,163,73,39.456,7,106568899
2019-03-03,cz,7,10,165,389,234,158.676,36,392775643
2019-03-03,cz,4,10,81,183,105,69.508,12,129276379
2019-03-03,cz,3,10,1,2,7,5.44,0,29117259
2019-03-03,cz,5,10,2,2,0,0,1,0
2019-03-03,cz,2,10,81,215,90,47.476,7,226686102
2019-03-03,cz,6,10,605,1687,878,529.36,94,1971999855
2019-03-04,cz,4,10,76,209,146,92.984,12,305027455
2019-03-04,cz,7,10,194,477,209,134.716,40,325501657
2019-03-04,cz,3,10,1,3,1,0.8,0,567844
2019-03-04,cz,2,10,88,201,114,62.816,9,236680993
2019-03-04,cz,5,10,6,14,7,4.72,0,8072761
2019-03-04,cz,6,10,688,2003,1169,723.344,97,2299466230
2019-03-05,cz,7,10,149,317,166,103.644,35,184715552
2019-03-05,cz,2,10,68,150,66,37.38,4,55501561
2019-03-05,cz,3,10,2,8,1,0.6,0,2634720
2019-03-05,cz,5,10,7,58,37,19.396,0,159546325
2019-03-05,cz,4,10,46,98,47,31.364,4,57985735
2019-03-05,cz,6,10,532,1619,720,433.932,72,1287138257
2019-03-06,cz,2,10,73,159,88,51.776,9,221389400
2019-03-06,cz,7,10,127,343,197,114.032,22,565724692
2019-03-06,cz,3,10,1,1,0,0,0,0
2019-03-06,cz,5,10,4,4,2,0.72,1,724558
2019-03-06,cz,4,10,54,191,84,46.024,7,312479882
2019-03-06,cz,6,10,658,1696,779,484.34,99,1134496816
2019-03-07,cz,7,10,113,247,158,97.82,18,213465076
2019-03-07,cz,4,10,46,141,92,67.356,10,365928636
2019-03-07,cz,2,10,74,204,68,42.688,9,215140684
2019-03-07,cz,6,10,641,1912,718,430.86,96,1260542178
2019-03-07,cz,5,10,6,11,4,2.8,0,6192357
2019-03-08,cz,4,10,61,136,44,30.672,15,207769859
2019-03-08,cz,7,10,102,230,119,73.408,16,124598136
2019-03-08,cz,5,10,12,47,28,17.596,2,46524318
2019-03-08,cz,6,10,570,1621,802,467.976,91,1644705028
2019-03-08,cz,2,10,66,149,82,51.188,7,117503971
2019-03-09,cz,6,10,585,1879,892,550.04,81,2789886166
2019-03-09,cz,7,10,108,275,149,92.784,18,300557549
2019-03-09,cz,5,10,6,6,6,4.28,1,1687183
2019-03-09,cz,4,10,71,146,88,54.792,14,130693324
2019-03-09,cz,2,10,65,262,185,85.34,7,901339139
2019-03-10,cz,4,10,64,184,85,55.28,7,327029568
2019-03-10,cz,2,10,83,240,168,100.704,9,316440299
2019-03-10,cz,5,10,13,21,8,4.616,2,7828772
2019-03-10,cz,6,10,655,2310,991,597.364,99,2851518003
2019-03-10,cz,7,10,109,239,150,96.048,16,126721609
2019-03-10,cz,3,10,1,10,3,0.128,0,7405632
2019-03-11,cz,2,10,103,330,143,77.956,9,583912993
2019-03-11,cz,6,10,806,2665,1325,821.808,120,3180592179
2019-03-11,cz,5,10,7,55,20,13.12,0,44198189
2019-03-11,cz,7,10,182,424,264,174.632,31,342268788
2019-03-11,cz,3,10,4,5,1,0.8,1,362780
2019-03-11,cz,4,10,95,216,125,84.684,15,365858976
2019-03-12,cz,4,10,82,196,80,54.472,14,150882976
2019-03-12,cz,3,10,2,3,3,2.4,0,2389588
2019-03-12,cz,6,10,619,1990,966,585.94,81,2079347713
2019-03-12,cz,7,10,141,266,109,74.632,23,93874641
2019-03-12,cz,2,10,68,186,88,54.024,6,111409408
2019-03-12,cz,1,10,1,0,1,0.8,0,11555
2019-03-12,cz,5,10,5,21,7,4.56,0,14827404
2019-03-13,cz,3,10,4,17,5,1.532,1,14258012
2019-03-13,cz,6,10,597,1881,881,517.688,74,1651861260
2019-03-13,cz,2,10,99,312,143,89.544,9,411180254
2019-03-13,cz,4,10,78,143,82,54.512,13,89293935
2019-03-13,cz,7,10,159,392,179,110.1,22,205199276
2019-03-13,cz,5,10,7,17,15,5.708,1,54354635
2019-03-13,cz,1,10,1,51,7,2.084,0,155717182
2019-03-14,cz,7,10,111,210,126,84.872,22,107403857
2019-03-14,cz,4,10,93,192,102,64.336,22,120832193
2019-03-14,cz,5,10,9,32,11,7.128,1,77980673
2019-03-14,cz,6,10,667,2310,979,580.46,97,3081267846
2019-03-14,cz,2,10,64,202,86,47.492,6,288329869
2019-03-15,cz,7,10,117,220,124,83.816,19,87184226
2019-03-15,cz,6,10,563,1684,758,421.924,82,1442656767
2019-03-15,cz,1,10,1,5,2,1.408,0,2571989
2019-03-15,cz,5,10,8,22,6,4.46,2,8656665
2019-03-15,cz,4,10,103,209,96,61.22,26,127256377
2019-03-15,cz,2,10,66,211,130,68.068,6,304228352
2019-03-16,cz,2,10,65,171,95,55.86,5,229592844
2019-03-16,cz,5,10,3,10,2,1.8,0,6530163
2019-03-16,cz,7,10,136,368,151,102.744,23,212022986
2019-03-16,cz,3,10,1,8,6,3.52,0,31856230
2019-03-16,cz,4,10,29,95,29,17.464,4,82169009
2019-03-16,cz,6,10,500,1332,594,346.408,76,744894904
2019-03-17,cz,5,10,9,15,13,9.52,1,17078927
2019-03-17,cz,3,10,1,1,0,0,0,0
2019-03-17,cz,2,10,68,145,81,38.94,8,200372594
2019-03-17,cz,4,10,35,97,32,18.932,4,73429465
2019-03-17,cz,7,10,134,308,195,109.552,26,258969551
2019-03-17,cz,6,10,636,2031,933,552.48,97,3095051928
2019-03-18,cz,3,10,2,7,6,3.24,0,4939000
2019-03-18,cz,2,10,82,317,211,131.344,9,763794310
2019-03-18,cz,6,10,759,2108,1071,629.356,113,2593787611
2019-03-18,cz,5,10,9,45,13,4.316,1,36412997
2019-03-18,cz,4,10,48,130,83,53.068,6,184242430
2019-03-18,cz,7,10,166,408,175,105.984,30,234207679
2019-03-19,cz,6,10,572,1771,757,442.008,92,1572737851
2019-03-19,cz,4,10,41,60,29,18.572,8,20214241
2019-03-19,cz,5,10,4,7,0,0,1,238414
2019-03-19,cz,1,10,1,3,0,0,0,160248
2019-03-19,cz,2,10,73,172,84,49.7,6,168805012
2019-03-19,cz,7,10,110,252,131,83.668,22,178646070
2019-03-20,cz,4,10,32,66,45,29.252,5,90654681
2019-03-20,cz,5,10,4,14,7,3.744,0,13714565
2019-03-20,cz,2,10,52,136,80,42.288,5,165962861
2019-03-20,cz,6,10,576,1574,736,427.828,87,1644106726
2019-03-20,cz,7,10,100,302,128,71.72,18,341195376
2019-03-20,cz,1,10,1,12,4,2.88,0,32921920
2019-03-20,cz,3,10,3,1,3,1.52,0,4324177
2019-03-21,cz,2,10,62,174,86,55.348,5,179484912
2019-03-21,cz,6,10,551,1636,671,407.264,69,1181699148
2019-03-21,cz,1,10,1,0,2,1.96,0,88150
